AUC_true,h_hist,mismatch,m_application,C_labels,max_labels_tested,Vmin,rho,robust_oracle_cap,status
0.75,0.65,-0.1,64,256,4096,0.00174847226682556,0.382946692062597,0.297651001273206,finite_within_grid
0.75,0.65,-0.1,128,1024,4096,0.000869548771376374,0.543026124475705,0.15999721601438,finite_within_grid
0.75,0.65,-0.1,256,Inf,4096,0.000433602545179085,0.768991935083023,0.0831165540955812,safe_but_grid_censored
0.75,0.65,-0.1,512,Inf,4096,0.000216508312462267,1.08825434293997,0.0423840133714112,structurally_noncertifiable
0.75,0.675,-0.075,16,64,4096,0.00721888244504976,0.141349401859372,1,finite_within_grid
0.75,0.675,-0.075,32,128,4096,0.00353444342994237,0.202007941152908,0.771759432104405,finite_within_grid
0.75,0.675,-0.075,64,256,4096,0.00174847226682556,0.287210019046948,0.4742602137916,finite_within_grid
0.75,0.675,-0.075,128,512,4096,0.000869548771376374,0.407269593356779,0.267778040318602,finite_within_grid
0.75,0.675,-0.075,256,2048,4096,0.000433602545179085,0.576743951312267,0.143136157866672,finite_within_grid
0.75,0.675,-0.075,512,Inf,4096,0.000216508312462267,0.81619075720498,0.0741275372322484,safe_but_grid_censored
0.75,0.7,-0.05,16,64,4096,0.00721888244504976,0.0942329345729151,1,finite_within_grid
0.75,0.7,-0.05,32,128,4096,0.00353444342994237,0.134671960768606,1,finite_within_grid
0.75,0.7,-0.05,64,256,4096,0.00174847226682556,0.191473346031299,0.823106357774113,finite_within_grid
0.75,0.7,-0.05,128,512,4096,0.000869548771376374,0.271513062237853,0.516121789815308,finite_within_grid
0.75,0.7,-0.05,256,1024,4096,0.000433602545179085,0.384495967541512,0.295610968767151,finite_within_grid
0.75,0.7,-0.05,512,4096,4096,0.000216508312462267,0.544127171469988,0.159401914191841,finite_within_grid
0.75,0.725,-0.025,16,64,4096,0.00721888244504976,0.0471164672864576,1,finite_within_grid
0.75,0.725,-0.025,32,128,4096,0.00353444342994237,0.0673359803843028,1,finite_within_grid
0.75,0.725,-0.025,64,128,4096,0.00174847226682556,0.0957366730156494,1,finite_within_grid
0.75,0.725,-0.025,128,256,4096,0.000869548771376374,0.135756531118926,1,finite_within_grid
0.75,0.725,-0.025,256,512,4096,0.000433602545179085,0.192247983770756,0.819198002411248,finite_within_grid
0.75,0.725,-0.025,512,1024,4096,0.000216508312462267,0.272063585734994,0.514572011365545,finite_within_grid
0.75,0.75,0,16,64,4096,0.00721888244504976,0,1,finite_within_grid
0.75,0.75,0,32,64,4096,0.00353444342994237,0,1,finite_within_grid
0.75,0.75,0,64,128,4096,0.00174847226682556,0,1,finite_within_grid
0.75,0.75,0,128,256,4096,0.000869548771376374,0,1,finite_within_grid
0.75,0.75,0,256,512,4096,0.000433602545179085,0,1,finite_within_grid
0.75,0.75,0,512,1024,4096,0.000216508312462267,0,1,finite_within_grid
0.75,0.775,0.025,16,64,4096,0.00721888244504976,0.0471164672864576,1,finite_within_grid
0.75,0.775,0.025,32,64,4096,0.00353444342994237,0.0673359803843028,1,finite_within_grid
0.75,0.775,0.025,64,128,4096,0.00174847226682556,0.0957366730156494,1,finite_within_grid
0.75,0.775,0.025,128,256,4096,0.000869548771376374,0.135756531118926,1,finite_within_grid
0.75,0.775,0.025,256,512,4096,0.000433602545179085,0.192247983770756,0.819198002411248,finite_within_grid
0.75,0.775,0.025,512,1024,4096,0.000216508312462267,0.272063585734994,0.514572011365545,finite_within_grid
0.75,0.8,0.05,16,64,4096,0.00721888244504976,0.0942329345729151,1,finite_within_grid
0.75,0.8,0.05,32,128,4096,0.00353444342994237,0.134671960768606,1,finite_within_grid
0.75,0.8,0.05,64,128,4096,0.00174847226682556,0.191473346031299,0.823106357774113,finite_within_grid
0.75,0.8,0.05,128,512,4096,0.000869548771376374,0.271513062237853,0.516121789815308,finite_within_grid
0.75,0.8,0.05,256,1024,4096,0.000433602545179085,0.384495967541512,0.295610968767151,finite_within_grid
0.75,0.8,0.05,512,4096,4096,0.000216508312462267,0.544127171469988,0.159401914191841,finite_within_grid
0.75,0.825,0.075,16,64,4096,0.00721888244504976,0.141349401859372,1,finite_within_grid
0.75,0.825,0.075,32,128,4096,0.00353444342994237,0.202007941152908,0.771759432104405,finite_within_grid
